# LAr EM cells with |barrel-endcap|=1 and sampling=1
# Source: C:\Users\chrys\Documents\GitHub\cgv-web\JiveXML_516761_840521342.xml
# Total LAr IDs: 27694 | Filtered: 2038
#
# id	barrel-endcap	sampling	region	eta	phi	cell_name	full_id	physical_eta	physical_phi	debug
3251685191084670976	-1	1	0	39	58	EMBC s=1 r=0 η=39 φ=58	4/1/-1/1/0/39/58	-0.126562	5.743224	
3251685225444409344	-1	1	0	39	62	EMBC s=1 r=0 η=39 φ=62	4/1/-1/1/0/39/62	-0.126562	6.135923	
3251687080870281216	-1	1	0	40	22	EMBC s=1 r=0 η=40 φ=22	4/1/-1/1/0/40/22	-0.129687	2.208932	
3251687424467664896	-1	1	0	40	62	EMBC s=1 r=0 η=40 φ=62	4/1/-1/1/0/40/62	-0.129687	6.135923	
3251689537591574528	-1	1	0	41	52	EMBC s=1 r=0 η=41 φ=52	4/1/-1/1/0/41/52	-0.132813	5.154175	
3251691736614830080	-1	1	0	42	52	EMBC s=1 r=0 η=42 φ=52	4/1/-1/1/0/42/52	-0.135937	5.154175	
3251695756704219136	-1	1	0	44	8	EMBC s=1 r=0 η=44 φ=8	4/1/-1/1/0/44/8	-0.142187	0.834486	
3251695876963303424	-1	1	0	44	22	EMBC s=1 r=0 η=44 φ=22	4/1/-1/1/0/44/22	-0.142187	2.208932	
3251698075986558976	-1	1	0	45	22	EMBC s=1 r=0 η=45 φ=22	4/1/-1/1/0/45/22	-0.145312	2.208932	
3251698204835577856	-1	1	0	45	37	EMBC s=1 r=0 η=45 φ=37	4/1/-1/1/0/45/37	-0.145312	3.681554	
3251698230605381632	-1	1	0	45	40	EMBC s=1 r=0 η=45 φ=40	4/1/-1/1/0/45/40	-0.145312	3.976078	
3251700275009814528	-1	1	0	46	22	EMBC s=1 r=0 η=46 φ=22	4/1/-1/1/0/46/22	-0.148438	2.208932	
3251700403858833408	-1	1	0	46	37	EMBC s=1 r=0 η=46 φ=37	4/1/-1/1/0/46/37	-0.148438	3.681554	
3251700429628637184	-1	1	0	46	40	EMBC s=1 r=0 η=46 φ=40	4/1/-1/1/0/46/40	-0.148438	3.976078	
3251702628651892736	-1	1	0	47	40	EMBC s=1 r=0 η=47 φ=40	4/1/-1/1/0/47/40	-0.151562	3.976078	
3251702645831761920	-1	1	0	47	42	EMBC s=1 r=0 η=47 φ=42	4/1/-1/1/0/47/42	-0.151562	4.172428	
3251705016653709312	-1	1	0	48	62	EMBC s=1 r=0 η=48 φ=62	4/1/-1/1/0/48/62	-0.154688	6.135923	
3251706734640627712	-1	1	0	49	6	EMBC s=1 r=0 η=49 φ=6	4/1/-1/1/0/49/6	-0.157812	0.638136	
3251706992338665472	-1	1	0	49	36	EMBC s=1 r=0 η=49 φ=36	4/1/-1/1/0/49/36	-0.157812	3.583379	
3251707215676964864	-1	1	0	49	62	EMBC s=1 r=0 η=49 φ=62	4/1/-1/1/0/49/62	-0.157812	6.135923	
3251709414700220416	-1	1	0	50	62	EMBC s=1 r=0 η=50 φ=62	4/1/-1/1/0/50/62	-0.160937	6.135923	
3251711209996550144	-1	1	0	51	15	EMBC s=1 r=0 η=51 φ=15	4/1/-1/1/0/51/15	-0.164063	1.521709	
3251711613723475968	-1	1	0	51	62	EMBC s=1 r=0 η=51 φ=62	4/1/-1/1/0/51/62	-0.164063	6.135923	
3251713744027254784	-1	1	0	52	54	EMBC s=1 r=0 η=52 φ=54	4/1/-1/1/0/52/54	-0.167187	5.350525	
3251713804156796928	-1	1	0	52	61	EMBC s=1 r=0 η=52 φ=61	4/1/-1/1/0/52/61	-0.167187	6.037748	
3251713812746731520	-1	1	0	52	62	EMBC s=1 r=0 η=52 φ=62	4/1/-1/1/0/52/62	-0.167187	6.135923	
3251715633812865024	-1	1	0	53	18	EMBC s=1 r=0 η=53 φ=18	4/1/-1/1/0/53/18	-0.170313	1.816233	
3251716003180052480	-1	1	0	53	61	EMBC s=1 r=0 η=53 φ=61	4/1/-1/1/0/53/61	-0.170313	6.037748	
3251717815656251392	-1	1	0	54	16	EMBC s=1 r=0 η=54 φ=16	4/1/-1/1/0/54/16	-0.173437	1.619884	
3251717961685139456	-1	1	0	54	33	EMBC s=1 r=0 η=54 φ=33	4/1/-1/1/0/54/33	-0.173437	3.288855	
3251720014679506944	-1	1	0	55	16	EMBC s=1 r=0 η=55 φ=16	4/1/-1/1/0/55/16	-0.176562	1.619884	
3251720375456759808	-1	1	0	55	58	EMBC s=1 r=0 η=55 φ=58	4/1/-1/1/0/55/58	-0.176562	5.743224	
3251722213702762496	-1	1	0	56	16	EMBC s=1 r=0 η=56 φ=16	4/1/-1/1/0/56/16	-0.179688	1.619884	
3251722488580669440	-1	1	0	56	48	EMBC s=1 r=0 η=56 φ=48	4/1/-1/1/0/56/48	-0.179688	4.761476	
3251722574480015360	-1	1	0	56	58	EMBC s=1 r=0 η=56 φ=58	4/1/-1/1/0/56/58	-0.179688	5.743224	
3251724395546148864	-1	1	0	57	14	EMBC s=1 r=0 η=57 φ=14	4/1/-1/1/0/57/14	-0.182812	1.423534	
3251726972526526464	-1	1	0	58	58	EMBC s=1 r=0 η=58 φ=58	4/1/-1/1/0/58/58	-0.185938	5.743224	
3251728733463117824	-1	1	0	59	7	EMBC s=1 r=0 η=59 φ=7	4/1/-1/1/0/59/7	-0.189062	0.736311	
3251730975436046336	-1	1	0	60	12	EMBC s=1 r=0 η=60 φ=12	4/1/-1/1/0/60/12	-0.192187	1.227185	
3251731370573037568	-1	1	0	60	58	EMBC s=1 r=0 η=60 φ=58	4/1/-1/1/0/60/58	-0.192187	5.743224	
3251733432157339648	-1	1	0	61	42	EMBC s=1 r=0 η=61 φ=42	4/1/-1/1/0/61/42	-0.195313	4.172428	
3251733440747274240	-1	1	0	61	43	EMBC s=1 r=0 η=61 φ=43	4/1/-1/1/0/61/43	-0.195313	4.270603	
3251735596820856832	-1	1	0	62	38	EMBC s=1 r=0 η=62 φ=38	4/1/-1/1/0/62/38	-0.198437	3.779729	
3251735794389352448	-1	1	0	62	61	EMBC s=1 r=0 η=62 φ=61	4/1/-1/1/0/62/61	-0.198437	6.037748	
3251737907513262080	-1	1	0	63	51	EMBC s=1 r=0 η=63 φ=51	4/1/-1/1/0/63/51	-0.201563	5.056001	
3251737916103196672	-1	1	0	63	52	EMBC s=1 r=0 η=63 φ=52	4/1/-1/1/0/63/52	-0.201563	5.154175	
3251738010592477184	-1	1	0	63	63	EMBC s=1 r=0 η=63 φ=63	4/1/-1/1/0/63/63	-0.201563	6.234098	
3251740029227106304	-1	1	0	64	42	EMBC s=1 r=0 η=64 φ=42	4/1/-1/1/0/64/42	-0.204687	4.172428	
3251740209615732736	-1	1	0	64	63	EMBC s=1 r=0 η=64 φ=63	4/1/-1/1/0/64/63	-0.204687	6.234098	
3251741901832847360	-1	1	0	65	4	EMBC s=1 r=0 η=65 φ=4	4/1/-1/1/0/65/4	-0.207812	0.441786	
3251742228250361856	-1	1	0	65	42	EMBC s=1 r=0 η=65 φ=42	4/1/-1/1/0/65/42	-0.207812	4.172428	
3251742391459119104	-1	1	0	65	61	EMBC s=1 r=0 η=65 φ=61	4/1/-1/1/0/65/61	-0.207812	6.037748	
3251744427273617408	-1	1	0	66	42	EMBC s=1 r=0 η=66 φ=42	4/1/-1/1/0/66/42	-0.210938	4.172428	
3251744521762897920	-1	1	0	66	53	EMBC s=1 r=0 η=66 φ=53	4/1/-1/1/0/66/53	-0.210938	5.252350	
3251746626296872960	-1	1	0	67	42	EMBC s=1 r=0 η=67 φ=42	4/1/-1/1/0/67/42	-0.214062	4.172428	
3251746634886807552	-1	1	0	67	43	EMBC s=1 r=0 η=67 φ=43	4/1/-1/1/0/67/43	-0.214062	4.270603	
3251748541852286976	-1	1	0	68	9	EMBC s=1 r=0 η=68 φ=9	4/1/-1/1/0/68/9	-0.217188	0.932660	
3251750740875542528	-1	1	0	69	9	EMBC s=1 r=0 η=69 φ=9	4/1/-1/1/0/69/9	-0.220312	0.932660	
3251750792415150080	-1	1	0	69	15	EMBC s=1 r=0 η=69 φ=15	4/1/-1/1/0/69/15	-0.220312	1.521709	
3251750938444038144	-1	1	0	69	32	EMBC s=1 r=0 η=69 φ=32	4/1/-1/1/0/69/32	-0.220312	3.190680	
3251752939898798080	-1	1	0	70	9	EMBC s=1 r=0 η=70 φ=9	4/1/-1/1/0/70/9	-0.223437	0.932660	
3251753137467293696	-1	1	0	70	32	EMBC s=1 r=0 η=70 φ=32	4/1/-1/1/0/70/32	-0.223437	3.190680	
3251753223366639616	-1	1	0	70	42	EMBC s=1 r=0 η=70 φ=42	4/1/-1/1/0/70/42	-0.223437	4.172428	
3251755138922053632	-1	1	0	71	9	EMBC s=1 r=0 η=71 φ=9	4/1/-1/1/0/71/9	-0.226563	0.932660	
3251757337945309184	-1	1	0	72	9	EMBC s=1 r=0 η=72 φ=9	4/1/-1/1/0/72/9	-0.229687	0.932660	
3251757346535243776	-1	1	0	72	10	EMBC s=1 r=0 η=72 φ=10	4/1/-1/1/0/72/10	-0.229687	1.030835	
3251757458204393472	-1	1	0	72	23	EMBC s=1 r=0 η=72 φ=23	4/1/-1/1/0/72/23	-0.229687	2.307107	
3251759494018891776	-1	1	0	73	4	EMBC s=1 r=0 η=73 φ=4	4/1/-1/1/0/73/4	-0.232813	0.441786	
3251759528378630144	-1	1	0	73	8	EMBC s=1 r=0 η=73 φ=8	4/1/-1/1/0/73/8	-0.232813	0.834486	
3251759536968564736	-1	1	0	73	9	EMBC s=1 r=0 η=73 φ=9	4/1/-1/1/0/73/9	-0.232813	0.932660	
3251759588508172288	-1	1	0	73	15	EMBC s=1 r=0 η=73 φ=15	4/1/-1/1/0/73/15	-0.232813	1.521709	
3251759648637714432	-1	1	0	73	22	EMBC s=1 r=0 η=73 φ=22	4/1/-1/1/0/73/22	-0.232813	2.208932	
3251761735991820288	-1	1	0	74	9	EMBC s=1 r=0 η=74 φ=9	4/1/-1/1/0/74/9	-0.235937	0.932660	
3251761787531427840	-1	1	0	74	15	EMBC s=1 r=0 η=74 φ=15	4/1/-1/1/0/74/15	-0.235937	1.521709	
3251761847660969984	-1	1	0	74	22	EMBC s=1 r=0 η=74 φ=22	4/1/-1/1/0/74/22	-0.235937	2.208932	
3251761933560315904	-1	1	0	74	32	EMBC s=1 r=0 η=74 φ=32	4/1/-1/1/0/74/32	-0.235937	3.190680	
3251762105359007744	-1	1	0	74	52	EMBC s=1 r=0 η=74 φ=52	4/1/-1/1/0/74/52	-0.235937	5.154175	
3251763935015075840	-1	1	0	75	9	EMBC s=1 r=0 η=75 φ=9	4/1/-1/1/0/75/9	-0.239062	0.932660	
3251763952194945024	-1	1	0	75	11	EMBC s=1 r=0 η=75 φ=11	4/1/-1/1/0/75/11	-0.239062	1.129010	
3251763986554683392	-1	1	0	75	15	EMBC s=1 r=0 η=75 φ=15	4/1/-1/1/0/75/15	-0.239062	1.521709	
3251763995144617984	-1	1	0	75	16	EMBC s=1 r=0 η=75 φ=16	4/1/-1/1/0/75/16	-0.239062	1.619884	
3251764046684225536	-1	1	0	75	22	EMBC s=1 r=0 η=75 φ=22	4/1/-1/1/0/75/22	-0.239062	2.208932	
